"","PUMA10","percentage"
"1",101,0.300523788738542
"2",102,0.185321715817694
"3",103,0.308928571428571
"4",104,0.0942956926658906
"5",105,0.200176886792453
"6",106,0.172694565423215
"7",107,0.184215031672659
"8",108,0.298408256078363
"9",109,0.399262395847562
"10",110,0.351040391676867
"11",300,0.120220813739522
"12",701,0.176308539944904
"13",702,0.106278498772361
"14",1100,0.0911330049261084
"15",1301,0.102310231023102
"16",1302,0.197183098591549
"17",1303,0.166243654822335
"18",1304,0.310456808833081
"19",1305,0.405100539480137
"20",1306,0.231854246253306
"21",1307,0.200795228628231
"22",1308,0.15697507877399
"23",1309,0.130972592772253
"24",1500,0.0983658076681332
"25",1700,0.233618233618234
"26",1901,0.0949917218543046
"27",1902,0.194071009996553
"28",1903,0.116606498194946
"29",1904,0.121506682867558
"30",1905,0.118010677156505
"31",1906,0.248866041729664
"32",1907,0.0551200391964723
"33",2300,0.102317554240631
"34",2500,0.0713239907969044
"35",2901,0.123027424544201
"36",2902,0.155816883662327
"37",2903,0.0847844704538967
"38",2904,0.0243355747678514
"39",2905,0.0907702748557856
"40",3100,0.0844854070660522
"41",3300,0.126453143534994
"42",3701,0.226248976248976
"43",3702,0.206664674237896
"44",3703,0.119144385026738
"45",3704,0.0982581509602501
"46",3705,0.202582728006457
"47",3706,0.14738929279577
"48",3707,0.100546661460367
"49",3708,0.118832668486248
"50",3709,0.213738508682329
"51",3710,0.129527559055118
"52",3711,0.215825914935707
"53",3712,0.095467032967033
"54",3713,0.145028335909325
"55",3714,0.207148888263439
"56",3715,0.159696811291166
"57",3716,0.0850340136054422
"58",3717,0.22250603093515
"59",3718,0.276358129850464
"60",3719,0.19042813896497
"61",3720,0.175931021830857
"62",3721,0.116647354190807
"63",3722,0.104958145524791
"64",3723,0.109302837035408
"65",3724,0.191739949748744
"66",3725,0.206865401987353
"67",3726,0.334090263979563
"68",3727,0.280392820860142
"69",3728,0.253579175704989
"70",3729,0.243378073405393
"71",3730,0.196790876541573
"72",3731,0.240447957839262
"73",3732,0.117704688593422
"74",3733,0.0835369917796045
"75",3734,0.0877000957723355
"76",3735,0.152489161309613
"77",3736,0.203839638622247
"78",3737,0.130467571644042
"79",3738,0.120471535365152
"80",3739,0.131103559291719
"81",3740,0.11172540889196
"82",3741,0.0441426146010187
"83",3742,0.0303692905733722
"84",3743,0.042322300596853
"85",3744,0.0811343048444269
"86",3745,0.0288324293462746
"87",3746,0.0556182947487295
"88",3747,0.0608108108108108
"89",3748,0.257047477744807
"90",3749,0.103186646433991
"91",3750,0.0458226768968457
"92",3751,0.0354395604395604
"93",3752,0.0453213854902637
"94",3753,0.1475461081588
"95",3754,0.147092622385658
"96",3755,0.118796605811263
"97",3756,0.0634075508228461
"98",3757,0.0627506014434643
"99",3758,0.0862781954887218
"100",3759,0.0812156143568247
"101",3760,0.29291217257319
"102",3761,0.270864783265042
"103",3762,0.189020939445388
"104",3763,0.162474226804124
"105",3764,0.214525765496639
"106",3765,0.215124110063498
"107",3766,0.141734493404434
"108",3767,0.163535031847134
"109",3768,0.283711445322457
"110",3769,0.127042253521127
"111",3900,0.102406417112299
"112",4101,0.157082002129925
"113",4102,0.232242789496341
"114",4701,0.0171253822629969
"115",4702,0.114801255230126
"116",5301,0.162908111746887
"117",5302,0.0706378492356352
"118",5303,0.0849035187287174
"119",5500,0.186205423873585
"120",5700,0.175133214920071
"121",5901,0.198881509961552
"122",5902,0.230318650421743
"123",5903,0.332715345122647
"124",5904,0.316417910447761
"125",5905,0.204033706313027
"126",5906,0.225212260756943
"127",5907,0.179604261796043
"128",5908,0.218045112781955
"129",5909,0.123212783851976
"130",5910,0.127551020408163
"131",5911,0.19293893129771
"132",5912,0.149226569608735
"133",5913,0.126104565537555
"134",5914,0.233802816901408
"135",5915,0.282527881040892
"136",5916,0.0703015427769986
"137",5917,0.0603361344537815
"138",5918,0.170893371757925
"139",6101,0.284872298624754
"140",6102,0.174006444683136
"141",6103,0.182506053268765
"142",6501,0.0496578347078435
"143",6502,0.131081719414265
"144",6503,0.21691252856846
"145",6504,0.170630591315732
"146",6505,0.120322691383453
"147",6506,0.196669029057406
"148",6507,0.114479874542603
"149",6508,0.0968863361547763
"150",6509,0.0574419920769666
"151",6510,0.123970345963756
"152",6511,0.101390301797219
"153",6512,0.152910226899046
"154",6513,0.145597544600038
"155",6514,0.129107073830692
"156",6515,0.156257046223224
"157",6701,0.11974358974359
"158",6702,0.180899908172635
"159",6703,0.26963906581741
"160",6704,0.0831573389651531
"161",6705,0.21380846325167
"162",6706,0.135836810384794
"163",6707,0.282245827010622
"164",6708,0.0657603540942144
"165",6709,0.213095238095238
"166",6710,0.198182850653038
"167",6711,0.162043301759134
"168",6712,0.285676878764074
"169",7101,0.12
"170",7102,0.0513288170922355
"171",7103,0.137224669603524
"172",7104,0.170976574383937
"173",7105,0.235559088500265
"174",7106,0.161616161616162
"175",7107,0.145355850422195
"176",7108,0.0949189189189189
"177",7109,0.0544272948822096
"178",7110,0.0837070254110613
"179",7111,0.143867485576028
"180",7112,0.121756002910502
"181",7113,0.126302083333333
"182",7114,0.172593089567259
"183",7115,0.150620200826934
"184",7301,0.163297045101089
"185",7302,0.164394336654431
"186",7303,0.102987421383648
"187",7304,0.310667652131067
"188",7305,0.200267737617135
"189",7306,0.211201079622132
"190",7307,0.179804715408431
"191",7308,0.366791044776119
"192",7309,0.295021717340461
"193",7310,0.253978198220774
"194",7311,0.351992409867173
"195",7312,0.299412915851272
"196",7313,0.138006387628173
"197",7314,0.253031206519579
