"DATE","tenor","rate"
1993-09-01,"GS1",3.36
1993-10-01,"GS1",3.39
1993-11-01,"GS1",3.58
1993-12-01,"GS1",3.61
1994-01-01,"GS1",3.54
1994-02-01,"GS1",3.87
1994-03-01,"GS1",4.32
1994-04-01,"GS1",4.82
1994-05-01,"GS1",5.31
1994-06-01,"GS1",5.27
1994-07-01,"GS1",5.48
1994-08-01,"GS1",5.56
1994-09-01,"GS1",5.76
1994-10-01,"GS1",6.11
1994-11-01,"GS1",6.54
1994-12-01,"GS1",7.14
1995-01-01,"GS1",7.05
1995-02-01,"GS1",6.7
1995-03-01,"GS1",6.43
1995-04-01,"GS1",6.27
1995-05-01,"GS1",6
1995-06-01,"GS1",5.64
1995-07-01,"GS1",5.59
1995-08-01,"GS1",5.75
1995-09-01,"GS1",5.62
1995-10-01,"GS1",5.59
1995-11-01,"GS1",5.43
1995-12-01,"GS1",5.31
1996-01-01,"GS1",5.09
1996-02-01,"GS1",4.94
1996-03-01,"GS1",5.34
1996-04-01,"GS1",5.54
1996-05-01,"GS1",5.64
1996-06-01,"GS1",5.81
1996-07-01,"GS1",5.85
1996-08-01,"GS1",5.67
1996-09-01,"GS1",5.83
1996-10-01,"GS1",5.55
1996-11-01,"GS1",5.42
1996-12-01,"GS1",5.47
1997-01-01,"GS1",5.61
1997-02-01,"GS1",5.53
1997-03-01,"GS1",5.8
1997-04-01,"GS1",5.99
1997-05-01,"GS1",5.87
1997-06-01,"GS1",5.69
1997-07-01,"GS1",5.54
1997-08-01,"GS1",5.56
1997-09-01,"GS1",5.52
1997-10-01,"GS1",5.46
1997-11-01,"GS1",5.46
1997-12-01,"GS1",5.53
1998-01-01,"GS1",5.24
1998-02-01,"GS1",5.31
1998-03-01,"GS1",5.39
1998-04-01,"GS1",5.38
1998-05-01,"GS1",5.44
1998-06-01,"GS1",5.41
1998-07-01,"GS1",5.36
1998-08-01,"GS1",5.21
1998-09-01,"GS1",4.71
1998-10-01,"GS1",4.12
1998-11-01,"GS1",4.53
1998-12-01,"GS1",4.52
1999-01-01,"GS1",4.51
1999-02-01,"GS1",4.7
1999-03-01,"GS1",4.78
1999-04-01,"GS1",4.69
1999-05-01,"GS1",4.85
1999-06-01,"GS1",5.1
1999-07-01,"GS1",5.03
1999-08-01,"GS1",5.2
1999-09-01,"GS1",5.25
1999-10-01,"GS1",5.43
1999-11-01,"GS1",5.55
1999-12-01,"GS1",5.84
2000-01-01,"GS1",6.12
2000-02-01,"GS1",6.22
2000-03-01,"GS1",6.22
2000-04-01,"GS1",6.15
2000-05-01,"GS1",6.33
2000-06-01,"GS1",6.17
2000-07-01,"GS1",6.08
2000-08-01,"GS1",6.18
2000-09-01,"GS1",6.13
2000-10-01,"GS1",6.01
2000-11-01,"GS1",6.09
2000-12-01,"GS1",5.6
2001-01-01,"GS1",4.81
2001-02-01,"GS1",4.68
2001-03-01,"GS1",4.3
2001-04-01,"GS1",3.98
2001-05-01,"GS1",3.78
2001-06-01,"GS1",3.58
2001-07-01,"GS1",3.62
2001-08-01,"GS1",3.47
2001-09-01,"GS1",2.82
2001-10-01,"GS1",2.33
2001-11-01,"GS1",2.18
2001-12-01,"GS1",2.22
2002-01-01,"GS1",2.16
2002-02-01,"GS1",2.23
2002-03-01,"GS1",2.57
2002-04-01,"GS1",2.48
2002-05-01,"GS1",2.35
2002-06-01,"GS1",2.2
2002-07-01,"GS1",1.96
2002-08-01,"GS1",1.76
2002-09-01,"GS1",1.72
2002-10-01,"GS1",1.65
2002-11-01,"GS1",1.49
2002-12-01,"GS1",1.45
2003-01-01,"GS1",1.36
2003-02-01,"GS1",1.3
2003-03-01,"GS1",1.24
2003-04-01,"GS1",1.27
2003-05-01,"GS1",1.18
2003-06-01,"GS1",1.01
2003-07-01,"GS1",1.12
2003-08-01,"GS1",1.31
2003-09-01,"GS1",1.24
2003-10-01,"GS1",1.25
2003-11-01,"GS1",1.34
2003-12-01,"GS1",1.31
2004-01-01,"GS1",1.24
2004-02-01,"GS1",1.24
2004-03-01,"GS1",1.19
2004-04-01,"GS1",1.43
2004-05-01,"GS1",1.78
2004-06-01,"GS1",2.12
2004-07-01,"GS1",2.1
2004-08-01,"GS1",2.02
2004-09-01,"GS1",2.12
2004-10-01,"GS1",2.23
2004-11-01,"GS1",2.5
2004-12-01,"GS1",2.67
