"DATE","GS1","GS10","GS3","GS30","GS5","UNRATE"
"1985-03-01",9.86,11.86,11.05,11.81,11.52,7.2
"1985-04-01",9.14,11.43,10.49,11.47,11.01,7.3
"1985-05-01",8.46,10.85,9.75,11.05,10.34,7.2
"1985-06-01",7.8,10.16,9.05,10.45,9.6,7.4
"1985-07-01",7.86,10.31,9.18,10.5,9.7,7.4
"1985-08-01",8.05,10.33,9.31,10.56,9.81,7.1
"1985-09-01",8.07,10.37,9.37,10.61,9.81,7.1
"1985-10-01",8.01,10.24,9.25,10.5,9.69,7.1
"1985-11-01",7.88,9.78,8.88,10.06,9.28,7
"1985-12-01",7.67,9.26,8.4,9.54,8.73,7
"1986-01-01",7.73,9.19,8.41,9.4,8.68,6.7
"1986-02-01",7.61,8.7,8.1,8.93,8.34,7.2
"1986-03-01",7.03,7.78,7.3,7.96,7.46,7.2
"1986-04-01",6.44,7.3,6.86,7.39,7.05,7.1
"1986-05-01",6.65,7.71,7.27,7.52,7.52,7.2
"1986-06-01",6.73,7.8,7.41,7.57,7.64,7.2
"1986-07-01",6.27,7.3,6.86,7.27,7.06,7
"1986-08-01",5.93,7.17,6.49,7.33,6.8,6.9
"1986-09-01",5.77,7.45,6.62,7.62,6.92,7
"1986-10-01",5.72,7.43,6.56,7.7,6.83,7
"1986-11-01",5.8,7.25,6.46,7.52,6.76,6.9
"1986-12-01",5.87,7.11,6.43,7.37,6.67,6.6
"1987-01-01",5.78,7.08,6.41,7.39,6.64,6.6
"1987-02-01",5.96,7.25,6.56,7.54,6.79,6.6
"1987-03-01",6.03,7.25,6.58,7.55,6.79,6.6
"1987-04-01",6.5,8.02,7.32,8.25,7.57,6.3
"1987-05-01",7,8.61,8.02,8.78,8.26,6.3
"1987-06-01",6.8,8.4,7.82,8.57,8.02,6.2
"1987-07-01",6.68,8.45,7.74,8.64,8.01,6.1
"1987-08-01",7.03,8.76,8.03,8.97,8.32,6
"1987-09-01",7.67,9.42,8.67,9.59,8.94,5.9
"1987-10-01",7.59,9.52,8.75,9.61,9.08,6
"1987-11-01",6.96,8.86,7.99,8.95,8.35,5.8
"1987-12-01",7.17,8.99,8.13,9.12,8.45,5.7
"1988-01-01",6.99,8.67,7.87,8.83,8.18,5.7
"1988-02-01",6.64,8.21,7.38,8.43,7.71,5.7
"1988-03-01",6.71,8.37,7.5,8.63,7.83,5.7
"1988-04-01",7.01,8.72,7.83,8.95,8.19,5.4
"1988-05-01",7.4,9.09,8.24,9.23,8.58,5.6
"1988-06-01",7.49,8.92,8.22,9,8.49,5.4
"1988-07-01",7.75,9.06,8.44,9.14,8.66,5.4
"1988-08-01",8.17,9.26,8.77,9.32,8.94,5.6
"1988-09-01",8.09,8.98,8.57,9.06,8.69,5.4
"1988-10-01",8.11,8.8,8.43,8.89,8.51,5.4
"1988-11-01",8.48,8.96,8.72,9.02,8.79,5.3
"1988-12-01",8.99,9.11,9.11,9.01,9.09,5.3
"1989-01-01",9.05,9.09,9.2,8.93,9.15,5.4
"1989-02-01",9.25,9.17,9.32,9.01,9.27,5.2
"1989-03-01",9.57,9.36,9.61,9.17,9.51,5
"1989-04-01",9.36,9.18,9.4,9.03,9.3,5.2
"1989-05-01",8.98,8.86,8.98,8.83,8.91,5.2
"1989-06-01",8.44,8.28,8.37,8.27,8.29,5.3
"1989-07-01",7.89,8.02,7.83,8.08,7.83,5.2
"1989-08-01",8.18,8.11,8.13,8.12,8.09,5.2
"1989-09-01",8.22,8.19,8.26,8.15,8.17,5.3
"1989-10-01",7.99,8.01,8.02,8,7.97,5.3
"1989-11-01",7.77,7.87,7.8,7.9,7.81,5.4
"1989-12-01",7.72,7.84,7.77,7.9,7.75,5.4
"1990-01-01",7.92,8.21,8.13,8.26,8.12,5.4
"1990-02-01",8.11,8.47,8.39,8.5,8.42,5.3
"1990-03-01",8.35,8.59,8.63,8.56,8.6,5.2
"1990-04-01",8.4,8.79,8.78,8.76,8.77,5.4
"1990-05-01",8.32,8.76,8.69,8.73,8.74,5.4
"1990-06-01",8.1,8.48,8.4,8.46,8.43,5.2
"1990-07-01",7.94,8.47,8.26,8.5,8.33,5.5
"1990-08-01",7.78,8.75,8.22,8.86,8.44,5.7
"1990-09-01",7.76,8.89,8.27,9.03,8.51,5.9
"1990-10-01",7.55,8.72,8.07,8.86,8.33,5.9
"1990-11-01",7.31,8.39,7.74,8.54,8.02,6.2
"1990-12-01",7.05,8.08,7.47,8.24,7.73,6.3
"1991-01-01",6.64,8.09,7.38,8.27,7.7,6.4
"1991-02-01",6.27,7.85,7.08,8.03,7.47,6.6
"1991-03-01",6.4,8.11,7.35,8.29,7.77,6.8
"1991-04-01",6.24,8.04,7.23,8.21,7.7,6.7
"1991-05-01",6.13,8.07,7.12,8.27,7.7,6.9
"1991-06-01",6.36,8.28,7.39,8.47,7.94,6.9
"1991-07-01",6.31,8.27,7.38,8.45,7.91,6.8
"1991-08-01",5.78,7.9,6.8,8.14,7.43,6.9
"1991-09-01",5.57,7.65,6.5,7.95,7.14,6.9
"1991-10-01",5.33,7.53,6.23,7.93,6.87,7
"1991-11-01",4.89,7.42,5.9,7.92,6.62,7
"1991-12-01",4.38,7.09,5.39,7.7,6.19,7.3
"1992-01-01",4.15,7.03,5.4,7.58,6.24,7.3
"1992-02-01",4.29,7.34,5.72,7.85,6.58,7.4
"1992-03-01",4.63,7.54,6.18,7.97,6.95,7.4
"1992-04-01",4.3,7.48,5.93,7.96,6.78,7.4
"1992-05-01",4.19,7.39,5.81,7.89,6.69,7.6
"1992-06-01",4.17,7.26,5.6,7.84,6.48,7.8
