tenor,rate
UNRATE,4.4
UNRATE,4.3
UNRATE,4.4
UNRATE,4.2
UNRATE,4.3
UNRATE,4.2
UNRATE,4.3
UNRATE,4.3
UNRATE,4.2
UNRATE,4.2
UNRATE,4.1
UNRATE,4.1
UNRATE,4
UNRATE,4
UNRATE,4.1
UNRATE,4
UNRATE,3.8
UNRATE,4
UNRATE,4
UNRATE,4
UNRATE,4.1
UNRATE,3.9
UNRATE,3.9
UNRATE,3.9
UNRATE,3.9
UNRATE,4.2
UNRATE,4.2
UNRATE,4.3
UNRATE,4.4
UNRATE,4.3
UNRATE,4.5
UNRATE,4.6
UNRATE,4.9
UNRATE,5
UNRATE,5.3
UNRATE,5.5
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.9
UNRATE,5.8
UNRATE,5.8
UNRATE,5.8
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.9
UNRATE,6
UNRATE,5.8
UNRATE,5.9
UNRATE,5.9
UNRATE,6
UNRATE,6.1
UNRATE,6.3
UNRATE,6.2
UNRATE,6.1
UNRATE,6.1
UNRATE,6
UNRATE,5.8
UNRATE,5.7
UNRATE,5.7
UNRATE,5.6
UNRATE,5.8
UNRATE,5.6
UNRATE,5.6
UNRATE,5.6
UNRATE,5.5
UNRATE,5.4
UNRATE,5.4
UNRATE,5.5
UNRATE,5.4
UNRATE,5.4
UNRATE,5.3
UNRATE,5.4
UNRATE,5.2
UNRATE,5.2
UNRATE,5.1
UNRATE,5
UNRATE,5
UNRATE,4.9
UNRATE,5
UNRATE,5
UNRATE,5
UNRATE,4.9
UNRATE,4.7
UNRATE,4.8
UNRATE,4.7
UNRATE,4.7
UNRATE,4.6
UNRATE,4.6
UNRATE,4.7
UNRATE,4.7
UNRATE,4.5
UNRATE,4.4
UNRATE,4.5
UNRATE,4.4
UNRATE,4.6
UNRATE,4.5
UNRATE,4.4
UNRATE,4.5
UNRATE,4.4
UNRATE,4.6
UNRATE,4.7
UNRATE,4.6
UNRATE,4.7
UNRATE,4.7
UNRATE,4.7
UNRATE,5
UNRATE,5
UNRATE,4.9
UNRATE,5.1
UNRATE,5
UNRATE,5.4
UNRATE,5.6
UNRATE,5.8
UNRATE,6.1
UNRATE,6.1
UNRATE,6.5
UNRATE,6.8
UNRATE,7.3
UNRATE,7.8
UNRATE,8.3
UNRATE,8.7
UNRATE,9
UNRATE,9.4
UNRATE,9.5
UNRATE,9.5
UNRATE,9.6
UNRATE,9.8
UNRATE,10
UNRATE,9.9
UNRATE,9.9
UNRATE,9.8
UNRATE,9.8
UNRATE,9.9
UNRATE,9.9
UNRATE,9.6
UNRATE,9.4
UNRATE,9.4
UNRATE,9.5
UNRATE,9.5
UNRATE,9.4
UNRATE,9.8
UNRATE,9.3
UNRATE,9.1
UNRATE,9
UNRATE,9
UNRATE,9.1
UNRATE,9
UNRATE,9.1
UNRATE,9
UNRATE,9
UNRATE,9
UNRATE,8.8
UNRATE,8.6
UNRATE,8.5
UNRATE,8.3
UNRATE,8.3
UNRATE,8.2
UNRATE,8.2
UNRATE,8.2
UNRATE,8.2
UNRATE,8.2
UNRATE,8.1
UNRATE,7.8
UNRATE,7.8
UNRATE,7.7
UNRATE,7.9
UNRATE,8
UNRATE,7.7
UNRATE,7.5
UNRATE,7.6
UNRATE,7.5
UNRATE,7.5
UNRATE,7.3
UNRATE,7.3
UNRATE,7.3
UNRATE,7.2
UNRATE,6.9
UNRATE,6.7
UNRATE,6.6
UNRATE,6.7
UNRATE,6.7
UNRATE,6.2
UNRATE,6.2
UNRATE,6.1
UNRATE,6.2
UNRATE,6.2
UNRATE,6
UNRATE,5.7
UNRATE,5.8
UNRATE,5.6
UNRATE,5.7
UNRATE,5.5
UNRATE,5.5
UNRATE,5.4
UNRATE,5.5
UNRATE,5.3
UNRATE,5.3
UNRATE,5.1
UNRATE,5.1
UNRATE,5
UNRATE,5
UNRATE,5
UNRATE,4.9
UNRATE,4.9
UNRATE,5
UNRATE,5
UNRATE,4.7
UNRATE,4.9
UNRATE,4.9
UNRATE,4.9
UNRATE,5
UNRATE,4.9
UNRATE,4.6
