tenor,rate
GS3,1.17
GS3,0.98
GS3,0.78
GS3,0.74
GS3,0.57
GS3,0.67
GS3,0.99
GS3,1.03
GS3,1.28
GS3,1.17
GS3,1.21
GS3,0.94
GS3,0.71
GS3,0.68
GS3,0.38
GS3,0.35
GS3,0.47
GS3,0.39
GS3,0.39
GS3,0.36
GS3,0.38
GS3,0.51
GS3,0.43
GS3,0.39
GS3,0.39
GS3,0.33
GS3,0.37
GS3,0.34
GS3,0.37
GS3,0.36
GS3,0.35
GS3,0.39
GS3,0.4
GS3,0.39
GS3,0.34
GS3,0.4
GS3,0.58
GS3,0.64
GS3,0.7
GS3,0.78
GS3,0.63
GS3,0.58
GS3,0.69
GS3,0.78
GS3,0.69
GS3,0.82
GS3,0.88
GS3,0.83
GS3,0.9
GS3,0.97
GS3,0.93
GS3,1.05
GS3,0.88
GS3,0.96
GS3,1.06
GS3,0.9
GS3,0.99
GS3,1.02
GS3,0.87
GS3,0.98
GS3,1.07
GS3,1.03
GS3,1.03
GS3,1.01
GS3,0.93
GS3,1.2
GS3,1.28
GS3,1.14
GS3,0.9
GS3,1.04
GS3,0.92
GS3,0.97
GS3,0.86
GS3,0.79
GS3,0.85
GS3,0.9
GS3,0.99
GS3,1.22
GS10,7.39
GS10,7.46
GS10,7.37
GS10,7.46
GS10,7.28
GS10,7.33
GS10,7.4
GS10,7.34
GS10,7.52
GS10,7.58
GS10,7.69
GS10,7.96
GS10,8.03
GS10,8.04
GS10,8.15
GS10,8.35
GS10,8.46
GS10,8.64
GS10,8.41
GS10,8.42
GS10,8.64
GS10,8.81
GS10,9.01
GS10,9.1
GS10,9.1
GS10,9.12
GS10,9.18
GS10,9.25
GS10,8.91
GS10,8.95
GS10,9.03
GS10,9.33
GS10,10.3
GS10,10.65
GS10,10.39
GS10,10.8
GS10,12.41
GS10,12.75
GS10,11.47
GS10,10.18
GS10,9.78
GS10,10.25
GS10,11.1
GS10,11.51
GS10,11.75
GS10,12.68
GS10,12.84
GS10,12.57
GS10,13.19
GS10,13.12
GS10,13.68
GS10,14.1
GS10,13.47
GS10,14.28
GS10,14.94
GS10,15.32
GS10,15.15
GS10,13.39
GS10,13.72
GS10,14.59
GS10,14.43
GS10,13.86
GS10,13.87
GS10,13.62
GS10,14.3
GS10,13.95
GS10,13.06
GS10,12.34
GS10,10.91
GS10,10.55
GS10,10.54
GS10,10.46
GS10,10.72
GS10,10.51
GS10,10.4
GS10,10.38
GS10,10.85
GS10,11.38
GS10,11.85
GS10,11.65
GS10,11.54
GS10,11.69
GS10,11.83
GS10,11.67
GS10,11.84
GS10,12.32
GS10,12.63
GS10,13.41
GS10,13.56
GS10,13.36
GS10,12.72
GS10,12.52
GS10,12.16
GS10,11.57
GS10,11.5
GS10,11.38
GS10,11.51
GS10,11.86
GS10,11.43
GS10,10.85
GS10,10.16
GS10,10.31
GS10,10.33
GS10,10.37
GS10,10.24
GS10,9.78
GS10,9.26
GS10,9.19
GS10,8.7
GS10,7.78
GS10,7.3
GS10,7.71
GS10,7.8
GS10,7.3
GS10,7.17
GS10,7.45
GS10,7.43
GS10,7.25
GS10,7.11
GS10,7.08
GS10,7.25
GS10,7.25
GS10,8.02
GS10,8.61
GS10,8.4
GS10,8.45
GS10,8.76
GS10,9.42
GS10,9.52
GS10,8.86
GS10,8.99
GS10,8.67
GS10,8.21
GS10,8.37
GS10,8.72
GS10,9.09
GS10,8.92
GS10,9.06
GS10,9.26
GS10,8.98
GS10,8.8
GS10,8.96
GS10,9.11
GS10,9.09
GS10,9.17
GS10,9.36
GS10,9.18
GS10,8.86
GS10,8.28
GS10,8.02
GS10,8.11
GS10,8.19
GS10,8.01
GS10,7.87
GS10,7.84
GS10,8.21
GS10,8.47
GS10,8.59
GS10,8.79
GS10,8.76
GS10,8.48
GS10,8.47
GS10,8.75
GS10,8.89
GS10,8.72
GS10,8.39
GS10,8.08
GS10,8.09
GS10,7.85
GS10,8.11
GS10,8.04
GS10,8.07
GS10,8.28
GS10,8.27
GS10,7.9
GS10,7.65
GS10,7.53
GS10,7.42
GS10,7.09
GS10,7.03
GS10,7.34
GS10,7.54
GS10,7.48
GS10,7.39
GS10,7.26
GS10,6.84
GS10,6.59
GS10,6.42
GS10,6.59
GS10,6.87
GS10,6.77
GS10,6.6
GS10,6.26
GS10,5.98
GS10,5.97
GS10,6.04
GS10,5.96
GS10,5.81
GS10,5.68
GS10,5.36
GS10,5.33
GS10,5.72
GS10,5.77
GS10,5.75
GS10,5.97
GS10,6.48
GS10,6.97
GS10,7.18
GS10,7.1
GS10,7.3
GS10,7.24
GS10,7.46
GS10,7.74
GS10,7.96
GS10,7.81
GS10,7.78
GS10,7.47
GS10,7.2
GS10,7.06
GS10,6.63
GS10,6.17
GS10,6.28
GS10,6.49
GS10,6.2
GS10,6.04
GS10,5.93
GS10,5.71
GS10,5.65
GS10,5.81
GS10,6.27
GS10,6.51
GS10,6.74
GS10,6.91
GS10,6.87
GS10,6.64
GS10,6.83
GS10,6.53
GS10,6.2
GS10,6.3
GS10,6.58
GS10,6.42
GS10,6.69
GS10,6.89
GS10,6.71
GS10,6.49
GS10,6.22
GS10,6.3
GS10,6.21
GS10,6.03
GS10,5.88
GS10,5.81
GS10,5.54
GS10,5.57
GS10,5.65
GS10,5.64
GS10,5.65
GS10,5.5
GS10,5.46
GS10,5.34
GS10,4.81
GS10,4.53
GS10,4.83
GS10,4.65
GS10,4.72
GS10,5
GS10,5.23
GS10,5.18
GS10,5.54
GS10,5.9
GS10,5.79
GS10,5.94
GS10,5.92
GS10,6.11
GS10,6.03
GS10,6.28
GS10,6.66
GS10,6.52
GS10,6.26
GS10,5.99
GS10,6.44
GS10,6.1
GS10,6.05
GS10,5.83
GS10,5.8
GS10,5.74
GS10,5.72
GS10,5.24
GS10,5.16
GS10,5.1
GS10,4.89
GS10,5.14
GS10,5.39
GS10,5.28
GS10,5.24
GS10,4.97
GS10,4.73
GS10,4.57
GS10,4.65
GS10,5.09
GS10,5.04
GS10,4.91
GS10,5.28
GS10,5.21
GS10,5.16
GS10,4.93
GS10,4.65
GS10,4.26
GS10,3.87
GS10,3.94
GS10,4.05
GS10,4.03
GS10,4.05
GS10,3.9
GS10,3.81
GS10,3.96
GS10,3.57
GS10,3.33
GS10,3.98
GS10,4.45
GS10,4.27
GS10,4.29
GS10,4.3
GS10,4.27
GS10,4.15
GS10,4.08
GS10,3.83
GS10,4.35
GS10,4.72
GS10,4.73
GS10,4.5
GS10,4.28
GS10,4.13
GS10,4.1
GS10,4.19
GS10,4.23
GS10,4.22
GS10,4.17
GS10,4.5
GS10,4.34
GS10,4.14
GS10,4
GS10,4.18
GS10,4.26
GS10,4.2
GS10,4.46
GS10,4.54
GS10,4.47
GS10,4.42
GS10,4.57
GS10,4.72
GS10,4.99
GS10,5.11
GS10,5.11
GS10,5.09
GS10,4.88
GS10,4.72
GS10,4.73
GS10,4.6
GS10,4.56
GS10,4.76
GS10,4.72
GS10,4.56
GS10,4.69
GS10,4.75
GS10,5.1
GS10,5
GS10,4.67
GS10,4.52
GS10,4.53
GS10,4.15
GS10,4.1
GS10,3.74
GS10,3.74
GS10,3.51
GS10,3.68
GS10,3.88
GS10,4.1
GS10,4.01
GS10,3.89
GS10,3.69
GS10,3.81
GS10,3.53
GS10,2.42
GS10,2.52
GS10,2.87
GS10,2.82
GS10,2.93
GS10,3.29
GS10,3.72
GS10,3.56
GS10,3.59
GS10,3.4
GS10,3.39
GS10,3.4
GS10,3.59
GS10,3.73
GS10,3.69
GS10,3.73
GS10,3.85
GS10,3.42
GS10,3.2
GS10,3.01
GS10,2.7
GS10,2.65
GS10,2.54
GS10,2.76
GS10,3.29
GS10,3.39
GS10,3.58
GS10,3.41
GS10,3.46
GS10,3.17
GS10,3
GS10,3
GS10,2.3
GS10,1.98
GS10,2.15
GS10,2.01
GS10,1.98
GS10,1.97
GS10,1.97
GS10,2.17
GS10,2.05
GS10,1.8
GS10,1.62
GS10,1.53
GS10,1.68
GS10,1.72
GS10,1.75
GS10,1.65
GS10,1.72
GS10,1.91
GS10,1.98
GS10,1.96
GS10,1.76
GS10,1.93
GS10,2.3
GS10,2.58
GS10,2.74
GS10,2.81
GS10,2.62
GS10,2.72
GS10,2.9
GS10,2.86
GS10,2.71
GS10,2.72
GS10,2.71
GS10,2.56
GS10,2.6
GS10,2.54
GS10,2.42
GS10,2.53
GS10,2.3
GS10,2.33
GS10,2.21
GS10,1.88
GS10,1.98
GS10,2.04
GS10,1.94
GS10,2.2
